Ind,Year,Length,Arrival,EggMass,Temp,Density,DaysFW
4,2016,475,210,289,15.898,53,25
23,2016,495,226,174,16.024,257,11
19,2016,470,226,263,16.096,257,12
28,2016,485,226,309,16.268,257,21
35,2016,457,228,303,16.08,288,12
42,2016,510,230,104,15.522,339,2
69,2016,470,234,123,16.27,452,8
62,2016,505,234,233,16.096,452,4
70,2016,480,236,267,16.27,429,6
79,2016,495,236,69,16.096,429,2
77,2016,460,236,61,16.136,429,5
86,2016,475,237,190,16.27,400,5
88,2016,485,237,233,16.412,400,7
81,2016,505,237,349,16.412,400,7
103,2016,475,238,202,16.178,388,10
111,2016,485,238,164,16.412,388,6
101,2016,545,238,285,16.27,388,4
131,2016,500,239,363,15.856,384,12
160,2016,525,239,321,15.856,384,12
133,2016,475,239,257,16.07,384,11
173,2016,515,240,366,16.392,362,6
175,2016,500,240,370,16.392,362,6
182,2016,490,240,306,16.178,362,8
203,2016,450,241,223,16.164,345,8
197,2016,525,241,287,16.392,345,5
196,2016,510,241,126,16.07,345,9
221,2016,520,244,116,16.392,296,2
225,2016,490,246,93,13.892,195,10
226,2016,470,247,58,15.564,134,5
313,2017,425,226,228,13.306,6496,9
318,2017,445,226,307,14.2,6496,7
334,2017,465,227,173,13.174,6762,26
343,2017,435,227,51,13.144,6762,17
342,2017,480,227,193,12.884,6762,20
382,2017,435,228,146,12.744,7139,12
379,2017,500,228,182,12.72,7139,21
372,2017,450,228,99,12.742,7139,20
395,2017,485,229,190,12.85,7392,13
400,2017,485,229,78,13.026,7392,21
442,2017,480,229,173,13.174,7392,24
499,2017,495,230,96,12.72,7539,19
498,2017,500,230,92,13.144,7539,14
470,2017,470,230,144,13.132,7539,15
550,2017,485,231,219,12.884,7710,16
543,2017,480,231,96,12.72,7710,18
544,2017,485,231,150,13.132,7710,14
579,2017,480,232,235,13.02,7803,11
576,2017,435,232,101,13.144,7803,12
581,2017,450,232,85,12.596,7803,23
595,2017,505,233,72,13.024,7918,13
590,2017,480,233,200,12.884,7918,14
591,2017,450,233,156,13.024,7918,13
610,2017,480,234,208,13.242,7293,17
606,2017,430,234,148,12.742,7293,14
609,2017,450,234,162,12.884,7293,13
614,2017,485,235,155,12.85,6725,7
627,2017,445,235,159,13.026,6725,15
617,2017,480,235,204,13.024,6725,11
652,2017,450,236,94,12.742,6413,12
646,2017,490,236,189,12.742,6413,12
651,2017,480,236,147,12.742,6413,12
657,2017,445,237,121,12.72,5122,12
659,2017,465,237,140,12.72,5122,12
661,2017,415,237,0,13.144,5122,7
687,2017,525,238,148,13.174,4346,15
685,2017,450,238,69,12.972,4346,16
688,2017,505,238,278,12.884,4346,9
700,2017,435,239,111,12.096,3709,18
696,2017,430,239,161,12.972,3709,15
702,2017,475,240,73,12.884,3599,7
711,2017,450,240,276,13.174,3599,13
708,2017,475,240,115,13.242,3599,11
719,2017,460,241,95,13.026,3460,9
723,2017,495,241,121,12.742,3460,7
726,2017,455,241,182,13.3,3460,11
745,2017,420,243,133,12.306,3080,13
748,2017,455,243,218,12.972,3080,11
747,2017,480,243,209,13.3,3080,9
771,2017,455,244,51,13.026,2946,6
762,2017,405,244,0,13.3,2946,8
769,2017,440,244,216,12.004,2946,14
783,2017,440,245,126,11.748,2849,17
782,2017,490,245,153,12.004,2849,13
780,2017,460,245,108,12.596,2849,10
804,2017,470,246,128,12.004,2778,12
819,2017,505,247,302,12.306,2680,9
824,2017,455,247,247,13.3,2680,5
818,2017,525,247,311,12.306,2680,9
837,2017,445,248,197,12.004,2497,10
839,2017,450,248,210,11.988,2497,11
830,2017,475,248,211,12.306,2497,8
842,2017,470,249,189,11.748,2347,13
